4,4,2,
8,6,3,
15,8,4,
24,11,5,
33,14,6,
42,17,7,
50,19,8,
58,21,9,
66,22,10,
74,23,11,
82,24,12,
90,25,13,
98,25,11,
106,28,12,
103,30,13,
100,30,14,
97,28,15,
104,26,12,
101,29,13,
98,29,14,
105,28,15,
102,27,13,
99,28,14,
106,27,15,
103,27,12,
100,29,13,
97,29,14,
104,27,15,
101,26,13,
98,27,14,
105,26,12,
102,29,13,
99,29,14,
106,28,15,
103,27,12,
100,29,13,
97,29,14,
104,27,15,
101,26,12,
98,28,13,
105,28,14,
102,28,15,
99,27,12,
106,29,13,
103,30,14,
100,29,15,
97,27,13,
104,27,14,
101,27,13,
98,28,14,
105,27,15,
102,26,12,
99,29,13,
106,29,14,
103,29,15,
100,27,13,
97,28,14,
104,27,15,
101,26,13,
98,27,14,
105,26,12,
102,29,13,
99,29,14,
106,28,15,
103,27,13,
100,28,14,
97,27,15,
104,25,13,
102,27,11,
99,30,12,
106,30,13,
103,30,14,
100,29,15,
97,27,13,
104,27,14,
101,27,11,
98,30,12,
105,30,13,
102,30,14,
99,29,15,
106,27,13,
103,29,14,
100,28,15,
97,26,12,
104,28,13,
101,29,14,
98,28,15,
105,26,12,
102,29,13,
99,29,14,
106,28,15,
103,27,13,
100,28,14,
97,27,15,
104,25,12,
102,28,13,
99,27,13,4
106,25,13,5
104,25,9,5
102,27,9,5
99,28,9,5
106,28,9,5
103,29,9,5
100,29,9,5
97,29,9,5
104,28,9,5
101,29,9,5
98,29,9,5
105,29,9,5
102,29,9,5
99,29,9,5
106,29,9,5
103,30,9,5
100,30,9,5
97,29,9,5
104,28,9,5
101,29,9,5
98,29,9,5
105,29,9,5
102,29,9,5
99,29,9,5
106,29,9,5
103,30,9,5
100,30,9,5
97,29,9,5
104,28,9,5
101,29,9,5
98,29,9,5
105,29,9,5
102,29,9,5
99,29,9,5
106,29,9,5
103,30,9,5
100,30,9,5
97,29,9,5
104,28,9,5
101,29,9,5
98,29,9,5
105,29,9,5
102,29,9,5
99,29,9,5
106,29,9,5
103,30,9,5
100,30,9,5
97,29,9,5
104,28,9,5
101,29,9,5
98,29,9,5
105,29,9,5
102,29,9,5
99,29,9,5
106,29,9,5
103,30,9,5
100,30,9,5
97,29,9,5
104,28,9,5
101,29,9,5
98,29,9,5
105,29,9,5
102,29,9,5
99,29,9,5
106,29,9,5
103,30,9,5
100,30,9,5
97,29,9,5
104,28,9,5
101,29,9,5
98,29,9,5
105,29,9,5
102,29,9,5
99,29,9,5
106,29,9,5
103,30,9,5
100,30,9,5
97,29,9,5
104,28,9,5
101,29,9,5
98,29,9,5
105,29,9,5
102,29,9,5
99,29,9,5
106,29,9,5
103,30,9,5
100,30,9,5
97,29,9,5
104,28,9,5
101,29,9,5
98,29,9,5
105,29,9,5
